Name,State,Level,Body Type,Body,Office,District / Area,Branch,Chamber,Party,Type,Inc Running,Incumbent,Inc. Party,Primary Date,Primary Result,General Date,General Result,General Vote %,Gender,Ethnicity,Website,Notes,Year
John Liu,NY,State,State Senate,New York State Senate,State Senator,SD-11,Legis,Upper,D,Incumbent,Yes,John Liu,D,6/23/2020,Won,11/3/2020,Won,57.60%,M,Taiwanese,https://www.johnliunewyork.com/,,2020
John Mizuno,HI,State,State House,Hawaii House of Representatives ,State Representative,District 28,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,100.00%,M,,,,
Jon Patterson,MO,State,State House,Kansas State Representative,State Representative,30th District,Legis,,R,Incumbent,Yes,,,,Won,11/3/2020,Won,57.30%,M,,,,
Kevin Thomas,NY,State,State Senate,New York State Senate,State Senator,SD-6,Legis,Upper,D,Incumbent,Yes,Kevin Thomas,D,6/23/2020,Won,11/3/2020,Won,,M,Indian,https://www.facebook.com/KevinThomas2018/,,2020
Kyle Yamashita,HI,State,State House,Hawaii House of Representatives,State Representative,HD-12,Legis,Lower,D,Incumbent,Yes,Kyle Yamashita,D,8/8/2020,Won,11/3/2020,Won,60.40%,M,Japanese,https://www.facebook.com/yamashita.results/,,2020
Les Ihara Jr.,HI,State,State Senate,Hawaii State Senate,State Senator,District 10,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,69.40%,M,Japanese,,,
Mark Hashem ,HI,State,State House,Hawaii House of Representatives ,State Representative,District 18,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,67.80%,M,,,,
Mark Nakashima,HI,State,State House,Hawaii House of Representatives,State Representative,HD-1,Legis,Lower,D,Incumbent,Yes,Mark Nakashima,D,8/8/2020,Won,11/3/2020,Won,71.70%,M,Japanese,https://www.marknakashima.com/,,2020
Marvin Lim,GA,State,State House,Georgia State House,State Representative ,HD-99,Legis,,D,,,,,,Won,11/3/2020,Won,100.00%,M,Filipino,,,
Mujtaba Mohammed,NC,State,State Senate,North Carolina State Senate,State Senator,District 38,Legis,Upper,D,Incumbent,Yes,Mujtaba Mohammed,D,3/3/2020,Won,11/3/2020,Won,78.40%,M,Indian,https://mohammednc.com/,,2020
Nader Sayegh,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-90,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,100.00%,M,Jordanian,,,
Nikil Saval,PA,State,State Senate,Pennsylvania State Senate,State Senator,District 1,Legis,,D,Challenger,Yes,Lawrence M. Farnese Jr.,D,6/2/2020,Won,11/3/2020,Won,100.00%,M,Indian,https://nikilsaval.com/ ,,
Niraj Antani,OH,State,State Senate,Ohio State Senate,State Senator,SD-06,Legis,Upper,R,Open Seat,No,Peggy Lehner,R,3/10/2020,Won,11/3/2020,Won,53.10%,M,,http://www.nirajantani.com,,2020
Patrick Branco,HI,State,State House,Hawaii House of Representatives,State Representative,District 50,Legis,,D,Challenger,Yes,Kanani Souza,R,,Won,11/3/2020,Won,61.30%,M,Hawaiian,,,
Paul Schmid III,MA,State,State House,Massachusetts State House,State Representative,8th Bristol District,Legis,,D,Incumbent,,,,,Won,11/3/2020,Won,56.90%,M,,,,
Phillip Chen,CA,State,California State Assembly,State House,Assemblymember,HD-55,Legis,Lower,R,Incumbent,Yes,Phillip Chen,R,3/3/2020,Won,11/3/2020,Won,55.00%,M,,https://www.phillipchen.org/,,2020
Phillip Ting,CA,State,California State Assembly,State House,Assemblymember,HD-19,Legis,Lower,D,Incumbent,Yes,Phillip Ting,D,3/3/2020,Won,11/3/2020,Won,78.60%,M,,https://www.philting.com/,,2020
Quang Nquyen,AZ,State,State House,Arizona State House,State Representative,District 1,Legis,,R,Open Seat,No,Noel Campbell and Steve Pierce,R,8/4/2020,Won,11/3/2020,Won,37.90%,M,,,,
Ranjeev Puri ,MI,State,State House,Michigan House of Representatives,State Representative,HD-21,Legis,Lower,D,Challenger,Yes,Kristy Pagan ,D,8/4/2020,Won,11/3/2020,Won,58.60%,M,Indian,http://www.voteranjeev.com/,,2020
Richard Onishi,HI,State,State House,Hawaii House of Representatives,State Representative,HD-3,Legis,Lower,D,Incumbent,Yes,Richard Onishi,D,8/8/2020,Won,11/3/2020,Won,72.20%,M,Japanese,https://friendsforrichardonishi.com/,,2020
Robert Bonta,CA,State,California State Assembly,State House,Assemblymember,HD-18,Legis,Lower,D,Incumbent,Yes,Robert Bonta,D,3/3/2020,Won,11/3/2020,Won,88.10%,M,,http://www.robbonta.com/,,2020
Ron Kim,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-40,Legis,Lower,D,Incumbent,Yes,Ron Kim,D,6/23/2020,Won,11/3/2020,Won,82.70%,M,Korean,https://www.ronkimnewyork.com/,,2020
Ron Kouchi,HI,State,State Senate,Hawaii State Senate,State Senator,District 8,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,100.00%,M,Japanese,,,
Roy Takumi,HI,State,State House,Hawaii House of Representatives,Representative,District 35,Legis,,D,Incumbent,,,,,Won,11/3/2020,Won,65.70%,M,Japanese,,,
Ryan Yamane,HI,State,State House,Hawaii House of Representatives,State Representative,District 37,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,74.50%,M,,,,
Sam Kong,HI,State,State House,Hawaii House of Representatives ,State Representative,District 33,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,74.50%,M,,,,
Samuel Park,GA,State,State House,Georgia State House,State House,District 101,Legis,,D,Incumbent,Yes,,D,,Won,11/3/2020,Won,62.10%,M,,,,
Scot Matayoshi,HI,State,State House,Hawaii House of Representatives,Representative,District 49,Legis,,D,Incumbent,,,,,Won,11/3/2020,Won,77.20%,M,,,,
Scott Nishimoto,HI,State,State House,Hawaii House of Representatives,State Representative,District 21,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,100.00%,M,,,,
Scott Saiki,HI,State,State House,Hawaii House of Representatives ,State Representative,District 26,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,51.30%,M,,,,
Sean Quinlan,HI,State,State House,Hawaii House of Representatives,State Representative,District 47,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,57.50%,M,,,,
Sheikh Rahman,GA,State,State Senate,Georgia State Senate,State Senator,District 5,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,100.00%,M,,,,
Shri Thanedar,MI,State,State House,Michigan House of Representatives,State Representative,HD-03,Legis,Lower,,Challenger,Yes,Wendell Byrd,D,8/4/2020,Won,11/3/2020,Won,92.80%,M,Indian,https://www.shri2018.com/,,2020
Stanley Chang,HI,State,State Senate,Hawaii State Senate,State Senator,District 9,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,61.90%,M,,,,
Steven S. Choi,CA,State,California State Assembly,State House,Assemblymember,HD-68,Legis,Lower,R,Incumbent,Yes,Steven S. Choi,R,3/3/2020,Won,11/3/2020,Won,53.10%,M,Korean,https://stevenchoi.org/,,2020
Takashi Ohno,HI,State,State House,Hawaii House of Representatives,State Representative,HD-27,Legis,Lower,D,Incumbent,Yes,Takashi Ohno,D,8/8/2020,Won,11/3/2020,Won,100.00%,M,Japanese,http://www.takashiohno.com/,,2020
Tony Hwang,CT,State,State Senate,Connecticut State Senate,State Senator,SD-28,Legis,Upper,R,Incumbent,Yes,Tony Hwang,R,8/11/2020,Won,11/3/2020,Won,51.70%,M,Chinese,http://ctsenaterepublicans.com/home-Hwang/,,2020
Tou Xiong,MN,State,State House,Minnesota House of Representatives,State Representative,HD-53A,Legis,,D,Incumbent,Yes,,D,,Won,11/3/2020,Won,59.70%,M,Hmong,,,
Troy Hashimoto,HI,State,State House,Hawaii House of Representatives,State Representative,HD-8,Legis,Lower,D,Incumbent,Yes,Troy Hashimoto,D,8/8/2020,Won,11/3/2020,Won,74.40%,M,Japanese,http://www.troyhashimoto.com/,,2020
Ty Cullen,HI,State,State House,Hawaii State House,State Representative,District 39,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,65.80%,M,,,,
Vimalkumar Jariwala,SC,State,State House,South Carolina House of Representatives, State Representative,District 74,Legis,,R,Challenger,Yes,James Rutherford,D,,Won,11/3/2020,Won,17.00%,M,,,,
Vince Fong,CA,State,California State Assembly,State House,Assemblymember,HD-34,Legis,Lower,R,Incumbent,Yes,Vince Fong,R,3/3/2020,Won,11/3/2020,Won,64.10%,M,,http://vincefong.com/,,2020
Viresh Sinha,SC,State,State House,South Carolina House of Representatives, State Representative,District 78,Legis,,R,Challenger,Yes,Beth Bernstein,D,,Won,11/3/2020,Won,34.00%,M,Indian,,,
Anna Eskamani,FL,State,State House,Florida State House,State Representative,HD-47,Legis,Lower,D,Incumbent,Yes,Anna Eskamani,D,8/25/2020,Won,11/3/2020,Won,59.00%,F,Iranian ,https://www.annaforflorida.com/,,2020
Bee Nguyen,GA,State,State House,Georgia State House,State House,District 89,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,100.00%,F,,,,
Cecelia Gonzalez,NV,State,State Assembly,California State Assembly,Assemblymember,District 16,Legis,,D,Open Seat,No,,,6/9/2020,Won,11/3/2020,Won,65.30%,F,"Thai,Mexican",,,
Cindy Ryu,WA,State,State House,Washington State House,State Representative,"District 32, Position 1",Legis,,D,Incumbent,Yes,Cindy Ryu,D,8/4/2020,Won,11/3/2020,Won,72.00%,F,,,,
Davina Duerr,WA,State,State House,Washington State House,State Representative,"District 1, Position 1",Legis,,D,Incumbent,Yes,Davina Duerr,D,8/4/2020,Won,11/3/2020,Won,67.50%,F,,,,
Deborah Chang,NV,State,State Assembly,Nevada State Assembly,Assemblymember,AD-39,Legis,,D,Challenger,Yes,Jim Wheeler,R,,Won,11/3/2020,Won,29.90%,F,,,,
Dee Morikawa,HI,State,State House,Hawaii House of Representatives,State Representative,HD-16,Legis,Lower,D,Incumbent,Yes,Dee Morikawa,D,8/8/2020,Won,11/3/2020,Won,73.70%,F,Japanese,https://www.capitol.hawaii.gov/memberpage.aspx?member=ichiyama,,2020
Della Au Belatti,HI,State,State House,Hawaii House of Representatives,State Representative,HD-24,Legis,Lower,D,Incumbent,Yes,Della Au Belatti,D,8/8/2020,Won,11/3/2020,Won,77.20%,F,Filipino,http://www.capitol.hawaii.gov/memberpage.aspx?member=belatti,,2020
Donna Kim,HI,State,State Senate,Hawaii State Senate,State Senator,District 14,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,100.00%,F,,,,
Emily Weber,MO,State,State House,Kansas State Representative,State Representative,24th District,Legis,Lower,D,Open Seat,No,,,,Won,11/3/2020,Won,89.00%,F,Korean,https://www.emilyformissouri.com/,First Asian woman elected to the Missouri state legislature,2020
Francesca Hong,WI,State,State House,Wisconsin State Assembly,Assemblymember,HD-76,Legis,Lower,D,Challenger,Yes,Chris Taylor,D,8/11/2020,Won,11/3/2020,Won,88.20%,F,Korean,https://www.hong4assembly.com/,,2020
Janet Nguyen,CA,State,California State Assembly,State House,Assemblymember,HD-72,Legis,Lower,R,Challenger,Yes,Tyler Diep,R,3/3/2020,Won,11/3/2020,Won,54.00%,F,Vietnamese,https://janetforassembly.com/,,2020
Janet Yang Rohr,IL,State,State House,Illinois House of Representatives,State Representative,District 41,Legis,Lower,D,Challenger,Yes,Grant Wehrli,R,3/17/2020,Won,11/3/2020,Won,70.10%,F,,https://www.janetforillinois.com/,,2020
Jeanne Kapela,HI,State,State House,Hawaii House of Representatives,State Representative,District 5,Legis,,D,Challenger,No,,,,Won,11/3/2020,Won,77.10%,F,Hawaiian,,,
Jenifer Rajkumar,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-38,Legis,Lower,D,Challenger,Yes,Michael Miller,D,6/23/2020,Won,11/3/2020,Won,70.10%,F,Indian,https://www.jeniferforny.com/,,2020
